# DG3. The as-is/to-be ladder restated at declared violation prevalences
# generated by code/scripts/prevalence_reweight.py (l1-dg3-prevalence-1)
# scheme: hold the within-benign and within-violation composition fixed;
#   weight benign rows by (1-p)/0.40 and violation rows by p/0.60, so the
#   re-weighted mean is (1-p)*mean_benign + p*mean_violation and p=0.60
#   reproduces the published full-suite value exactly.
# no-AI anchor: RULE, re-weighted at the same p over the same row multiset.
# self-checks passed: 421/421 (max relative deviation 4.820e-05)
# linearity: max |grid - closed form| = 2.274e-13 bh
# pass-through invariance: max drift = 2.220e-16
# source analysis/ladder/oracle_items.jsonl sha256 a11d646f1a07f90804d4549d12eebc2c82fc32874597c50c6dccef10ba06956c
# source analysis/ladder/rule_anchor.json sha256 d36b620d9ccd2240bd9e3c32ec1275bdca8ce2391db033d045664d3dcfbc0710
# source analysis/ladder/unguarded_objective_patch.jsonl sha256 444311ac1e10bdc72cbda8697e8bfdc6250b2649c894aafb14fe47ac42796437
# source analysis/ladder/ladder_anchors.json sha256 cf7c0396ee6a97f62b09555cac697c0cd43bc8fd1faaaab468bfc171097ae668
# source results/e1_eval_deepseek/proposals.jsonl sha256 1e6cef4120af866d8b02898d9b2dc46b457c4b5b3649b7bed5c02bbaddc58407
# source results/e1_eval_deepseek/verdicts_UNGUARDED.jsonl sha256 945cb93d2609d9397b37d41dd2057ed639f644f0c6ce56b4179c72cf1d04bd83
# source results/e1_eval_deepseek/verdicts_G_FEAS.jsonl sha256 418eaa3f06de2f41b6c525222e4b165a06c58cfe3302081ed11375e28682e689
# source results/e1_eval_deepseek/verdicts_G_CERT.jsonl sha256 5c03ca0b5ae739bd89388dcbcc7226c27e93384508e134dfb2afa6fb7f431208
# source results/e1_eval_glm9b/proposals.jsonl sha256 94f9457a32e8776c6f403f4f619b2c96ce1d96bc3c2d1cb8118c1a2808c260bb
# source results/e1_eval_glm9b/verdicts_UNGUARDED.jsonl sha256 f4f2da5c1148e574da72fde4b58d444da025ab5b44a0d41e37e39a760551d779
# source results/e1_eval_glm9b/verdicts_G_FEAS.jsonl sha256 c6aa59cb041ee235084646d185760383d6d81d979876146af42f136a3694633c
# source results/e1_eval_glm9b/verdicts_G_CERT.jsonl sha256 357ff6582097bd5c6656c14e6c47a6c85b5cb2c699e2206d1f8722ff1f0e6ed4
# source results/e1_eval_gpt54mini/proposals.jsonl sha256 cbfcbd608fa2b03fa878089bda35dc2e8491307e7ab5c7bea0f6576e28b9a9cd
# source results/e1_eval_gpt54mini/verdicts_UNGUARDED.jsonl sha256 398100d6dbf10dbc911d34b25797f5a78b9720ccb4f00505233a329ddd2592c9
# source results/e1_eval_gpt54mini/verdicts_G_FEAS.jsonl sha256 0b54b9a910824885ff330ca5afab191320b01091f6e140d1edeacb395aed092c
# source results/e1_eval_gpt54mini/verdicts_G_CERT.jsonl sha256 ab58fe9be34e97572208247ee13fbf9710af6b14f5b0004390faeb4031f1a78d
# source results/e1_eval_opus5/proposals.jsonl sha256 170c6b315c419a23e6f4663ed28849e39b2672d4c08aa529d242e31cfd24d95d
# source results/e1_eval_opus5/verdicts_UNGUARDED.jsonl sha256 7f5851ea723e235e4b35b8dce402b93bf97785ea025171b099b304f66e287e5f
# source results/e1_eval_opus5/verdicts_G_FEAS.jsonl sha256 2e3f20d17f1a24f3e167bd443ae1f05f0bf7e9133777f70ada5dccf237124597
# source results/e1_eval_opus5/verdicts_G_CERT.jsonl sha256 2c4a3d99410ce0bc38a8c230ffa3770f8f1fc20d514c732abf4d53d898f77744
# source results/e1_eval_qwen14b/proposals.jsonl sha256 1275be52a6a9e7cc36ebcc8c6f193b81a6c84e97671932fdf534e2b7a1c9dd47
# source results/e1_eval_qwen14b/verdicts_UNGUARDED.jsonl sha256 c0133f83d8e1a0778d90c83df9656cf0a08126883ddd54997eaac3f268e036ef
# source results/e1_eval_qwen14b/verdicts_G_FEAS.jsonl sha256 2e35dedecb9363433618b26c6f0d75f596ce88b931e35443661048d2a8823e23
# source results/e1_eval_qwen14b/verdicts_G_CERT.jsonl sha256 007f9b7e128b9b40a1c8a6f20e1d7bf0688e7597c9ccf802b3d4603e11d5ff82
# source results/e1_eval_qwen27b/proposals.jsonl sha256 7d930c7633af776c55abe93c72a33e6132cd9eccdc22d0543ade32f1ec63811d
# source results/e1_eval_qwen27b/verdicts_UNGUARDED.jsonl sha256 5651867665d16c0042acc391364a78570acd8fe197a8a7c72fb0fa33bce40076
# source results/e1_eval_qwen27b/verdicts_G_FEAS.jsonl sha256 5741e6c174e36e8d04a366fd648a051ccb6bf6a4ecfa182382cf43ba3f5b1d75
# source results/e1_eval_qwen27b/verdicts_G_CERT.jsonl sha256 34f6a4c8b2b26b38a69a21c1a22d0d0ee7715b2d15a095399aa505c279377d10
# source results/e1_eval_sol/proposals.jsonl sha256 d1717574dc9365777d11455354cc58be02ed4790f792491442adf80f68344195
# source results/e1_eval_sol/verdicts_UNGUARDED.jsonl sha256 572268c45dc8e34e82da7bb3713a745e4f28541395a5a20eff593718b85df3ce
# source results/e1_eval_sol/verdicts_G_FEAS.jsonl sha256 e2436e281abdbd80e0702d221a839dc3f2c23b973d64fc2c507ca08c9a58762c
# source results/e1_eval_sol/verdicts_G_CERT.jsonl sha256 3a06dbde336b05951afd45cf08f609612a095c7a0d1861f68c447e6c7ab16dab
# source results/e1_eval_sonnet5/proposals.jsonl sha256 0a1387c342b1b9d551ab114ae13c9bf87871c27f7476fd96eecc5e5a1df3f94c
# source results/e1_eval_sonnet5/verdicts_UNGUARDED.jsonl sha256 9d226d2ecf206fa0088019c58cf8859a227a4480d9343eac54ea53d3b45cdb75
# source results/e1_eval_sonnet5/verdicts_G_FEAS.jsonl sha256 4b25bfa946e1f6a8e56f627b84148f858ce6b2e0dd0e2716fb18d3bbbd257d7c
# source results/e1_eval_sonnet5/verdicts_G_CERT.jsonl sha256 87d3ebaefefe7b70915a861cc2f61dd3fb5e7e08df5f83756cf78ce5aa8f102c
# source analysis/T4_trustworthiness.csv sha256 17133b88e327acbabdcd8f2f5ae3b50d969a7aa9fceb973bfb5fb49c7ed9c217
rung,arm,config,mode,thinking,n_rows,n_benign_rows,n_violation_rows,p,w_benign,w_violation,mean_wwt_bh,rule_mean_wwt_bh,delta_vs_rule_bh,warranted_rate,violation_pass_through,violation_pass_through_nonempty,median_wwt_bh,median_delta_vs_rule_bh,mean_benign_bh,mean_violation_bh,rule_mean_benign_bh,rule_mean_violation_bh,delta_at_p0_bh,delta_slope_bh,crossing_p,crossing_in_unit_interval,max_abs_delta_unit_interval_bh,shape_vs_anchor
UNGUARDED,deepseek,UNGUARDED,M_constrained,think_high,4000,1600,2400,0.1,2.25,0.16666666666666669,684.2495184499975,684.2494547333308,6.371666665927478e-05,0.0,0.9729166666666665,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_constrained,think_high,4000,1600,2400,0.15,2.125,0.25,685.0303731749976,685.0302775999977,9.557499993206875e-05,0.0,0.9729166666666667,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_constrained,think_high,4000,1600,2400,0.3,1.7499999999999998,0.5,687.3729373499982,687.3727461999982,0.00019114999997782434,0.0,0.9729166666666667,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_constrained,think_high,4000,1600,2400,0.6,1.0,1.0,692.0580656999994,692.0576833999994,0.00038229999995564867,0.0,0.9729166666666667,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_constrained,think_high,4000,1600,2400,0.01,2.4749999999999996,0.016666666666666666,682.8439799449972,682.8439735733305,6.371666700033529e-06,0.007620833333333334,0.23791666666666664,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_constrained,think_high,4000,1600,2400,0.02,2.4499999999999997,0.03333333333333333,683.0001508899971,683.0001381466637,1.2743333400067058e-05,0.015241666666666667,0.23791666666666664,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_constrained,think_high,4000,1600,2400,0.05,2.3749999999999996,0.08333333333333334,683.4686637249972,683.4686318666639,3.185833327279397e-05,0.03810416666666667,0.23791666666666664,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_constrained,think_high,4000,1600,2400,0.1,2.25,0.16666666666666669,684.2495184499975,684.2494547333308,6.371666665927478e-05,0.07620833333333334,0.23791666666666664,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_constrained,think_high,4000,1600,2400,0.15,2.125,0.25,685.0303731749976,685.0302775999977,9.557499993206875e-05,0.1143125,0.23791666666666667,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_constrained,think_high,4000,1600,2400,0.3,1.7499999999999998,0.5,687.3729373499982,687.3727461999982,0.00019114999997782434,0.228625,0.23791666666666667,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_constrained,think_high,4000,1600,2400,0.6,1.0,1.0,692.0580656999994,692.0576833999994,0.00038229999995564867,0.45725,0.23791666666666667,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_CERT,deepseek,G_CERT,M_constrained,think_high,4000,1600,2400,0.01,2.4749999999999996,0.016666666666666666,682.8439799449972,682.8439735733305,6.371666700033529e-06,0.01556875,0.23083333333333336,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_CERT,deepseek,G_CERT,M_constrained,think_high,4000,1600,2400,0.02,2.4499999999999997,0.03333333333333333,683.0001508899971,683.0001381466637,1.2743333400067058e-05,0.0255125,0.23083333333333336,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_CERT,deepseek,G_CERT,M_constrained,think_high,4000,1600,2400,0.05,2.3749999999999996,0.08333333333333334,683.4686637249972,683.4686318666639,3.185833327279397e-05,0.055343750000000004,0.23083333333333333,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_CERT,deepseek,G_CERT,M_constrained,think_high,4000,1600,2400,0.1,2.25,0.16666666666666669,684.2495184499975,684.2494547333308,6.371666665927478e-05,0.1050625,0.23083333333333333,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_CERT,deepseek,G_CERT,M_constrained,think_high,4000,1600,2400,0.15,2.125,0.25,685.0303731749976,685.0302775999977,9.557499993206875e-05,0.15478124999999998,0.23083333333333333,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_CERT,deepseek,G_CERT,M_constrained,think_high,4000,1600,2400,0.3,1.7499999999999998,0.5,687.3729373499982,687.3727461999982,0.00019114999997782434,0.30393749999999997,0.23083333333333333,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
G_CERT,deepseek,G_CERT,M_constrained,think_high,4000,1600,2400,0.6,1.0,1.0,692.0580656999994,692.0576833999994,0.00038229999995564867,0.60225,0.23083333333333333,0.005,567.9288,0.0,682.6878089999971,698.3049035000009,682.6878089999971,698.3042663333343,0.0,0.0006371666665927478,,False,0.0006371666665927478,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,non_think,4000,1600,2400,0.01,2.4749999999999996,0.016666666666666666,682.8439735733305,682.8439735733305,0.0,0.0,1.0,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,non_think,4000,1600,2400,0.02,2.4499999999999997,0.03333333333333333,683.0001381466637,683.0001381466637,0.0,0.0,1.0,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,non_think,4000,1600,2400,0.05,2.3749999999999996,0.08333333333333334,683.4686318666639,683.4686318666639,0.0,0.0,1.0,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,non_think,4000,1600,2400,0.1,2.25,0.16666666666666669,684.2494547333308,684.2494547333308,0.0,0.0,1.0,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,non_think,4000,1600,2400,0.15,2.125,0.25,685.0302775999977,685.0302775999977,0.0,0.0,1.0,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,non_think,4000,1600,2400,0.3,1.7499999999999998,0.5,687.3727461999982,687.3727461999982,0.0,0.0,1.0,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,non_think,4000,1600,2400,0.6,1.0,1.0,692.0576833999994,692.0576833999994,0.0,0.0,1.0,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,non_think,4000,1600,2400,0.01,2.4749999999999996,0.016666666666666666,682.8439735733305,682.8439735733305,0.0,0.007275,0.2725,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,non_think,4000,1600,2400,0.02,2.4499999999999997,0.03333333333333333,683.0001381466637,683.0001381466637,0.0,0.01455,0.2725,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,non_think,4000,1600,2400,0.05,2.3749999999999996,0.08333333333333334,683.4686318666639,683.4686318666639,0.0,0.036375000000000005,0.2725,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,non_think,4000,1600,2400,0.1,2.25,0.16666666666666669,684.2494547333308,684.2494547333308,0.0,0.07275000000000001,0.2725,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,non_think,4000,1600,2400,0.15,2.125,0.25,685.0302775999977,685.0302775999977,0.0,0.109125,0.2725,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,non_think,4000,1600,2400,0.3,1.7499999999999998,0.5,687.3727461999982,687.3727461999982,0.0,0.21825,0.2725,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,non_think,4000,1600,2400,0.6,1.0,1.0,692.0576833999994,692.0576833999994,0.0,0.4365,0.2725,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,non_think,4000,1600,2400,0.01,2.4749999999999996,0.016666666666666666,682.8439735733305,682.8439735733305,0.0,0.031037500000000003,0.265,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,non_think,4000,1600,2400,0.02,2.4499999999999997,0.03333333333333333,683.0001381466637,683.0001381466637,0.0,0.040825,0.265,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,non_think,4000,1600,2400,0.05,2.3749999999999996,0.08333333333333334,683.4686318666639,683.4686318666639,0.0,0.0701875,0.265,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,non_think,4000,1600,2400,0.1,2.25,0.16666666666666669,684.2494547333308,684.2494547333308,0.0,0.11912500000000001,0.265,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,non_think,4000,1600,2400,0.15,2.125,0.25,685.0302775999977,685.0302775999977,0.0,0.1680625,0.265,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,non_think,4000,1600,2400,0.3,1.7499999999999998,0.5,687.3727461999982,687.3727461999982,0.0,0.314875,0.265,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,non_think,4000,1600,2400,0.6,1.0,1.0,692.0576833999994,692.0576833999994,0.0,0.6084999999999999,0.265,0.0033333333333333335,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,think_high,4000,1600,2400,0.01,2.4749999999999996,0.016666666666666666,682.8439735733305,682.8439735733305,0.0,0.0,0.9883333333333333,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,think_high,4000,1600,2400,0.02,2.4499999999999997,0.03333333333333333,683.0001381466637,683.0001381466637,0.0,0.0,0.9883333333333333,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,think_high,4000,1600,2400,0.05,2.3749999999999996,0.08333333333333334,683.4686318666639,683.4686318666639,0.0,0.0,0.9883333333333333,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,think_high,4000,1600,2400,0.1,2.25,0.16666666666666669,684.2494547333308,684.2494547333308,0.0,0.0,0.9883333333333333,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,think_high,4000,1600,2400,0.15,2.125,0.25,685.0302775999977,685.0302775999977,0.0,0.0,0.9883333333333333,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,think_high,4000,1600,2400,0.3,1.7499999999999998,0.5,687.3727461999982,687.3727461999982,0.0,0.0,0.9883333333333333,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,deepseek,UNGUARDED,M_free,think_high,4000,1600,2400,0.6,1.0,1.0,692.0576833999994,692.0576833999994,0.0,0.0,0.9883333333333333,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,think_high,4000,1600,2400,0.01,2.4749999999999996,0.016666666666666666,682.8439735733305,682.8439735733305,0.0,0.0076375,0.23625,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,think_high,4000,1600,2400,0.02,2.4499999999999997,0.03333333333333333,683.0001381466637,683.0001381466637,0.0,0.015275,0.23625,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,think_high,4000,1600,2400,0.05,2.3749999999999996,0.08333333333333334,683.4686318666639,683.4686318666639,0.0,0.038187500000000006,0.23624999999999996,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,think_high,4000,1600,2400,0.1,2.25,0.16666666666666669,684.2494547333308,684.2494547333308,0.0,0.07637500000000001,0.23624999999999996,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,think_high,4000,1600,2400,0.15,2.125,0.25,685.0302775999977,685.0302775999977,0.0,0.1145625,0.23625,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,think_high,4000,1600,2400,0.3,1.7499999999999998,0.5,687.3727461999982,687.3727461999982,0.0,0.229125,0.23625,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_FEAS,deepseek,G_FEAS,M_free,think_high,4000,1600,2400,0.6,1.0,1.0,692.0576833999994,692.0576833999994,0.0,0.45825,0.23625,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,think_high,4000,1600,2400,0.01,2.4749999999999996,0.016666666666666666,682.8439735733305,682.8439735733305,0.0,0.014950000000000001,0.23000000000000004,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,think_high,4000,1600,2400,0.02,2.4499999999999997,0.03333333333333333,683.0001381466637,683.0001381466637,0.0,0.0249,0.23000000000000004,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,think_high,4000,1600,2400,0.05,2.3749999999999996,0.08333333333333334,683.4686318666639,683.4686318666639,0.0,0.05475,0.23,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,think_high,4000,1600,2400,0.1,2.25,0.16666666666666669,684.2494547333308,684.2494547333308,0.0,0.10450000000000001,0.23,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,think_high,4000,1600,2400,0.15,2.125,0.25,685.0302775999977,685.0302775999977,0.0,0.15425,0.23,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,think_high,4000,1600,2400,0.3,1.7499999999999998,0.5,687.3727461999982,687.3727461999982,0.0,0.3035,0.23,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
G_CERT,deepseek,G_CERT,M_free,think_high,4000,1600,2400,0.6,1.0,1.0,692.0576833999994,692.0576833999994,0.0,0.602,0.23,0.004166666666666667,567.9288,0.0,682.6878089999971,698.3042663333343,682.6878089999971,698.3042663333343,0.0,0.0,,False,0.0,flat at the anchor
UNGUARDED,glm-4-9b,UNGUARDED,M_constrained,-,2000,800,1200,0.01,2.4749999999999996,0.016666666666666666,683.787249293334,682.8439735733339,0.9432757200000879,0.0,0.7908333333333334,0.7675,567.9288,0.0,682.9809760000006,763.6083053333303,682.6878090000006,698.3042663333314,0.2931670000000395,65.01087199999893,-0.004509507271338313,False,65.30403899999897,"above the anchor at every p in [0,1]"
UNGUARDED,glm-4-9b,UNGUARDED,M_constrained,-,2000,800,1200,0.02,2.4499999999999997,0.03333333333333333,684.5935225866673,683.0001381466672,1.5933844400001362,0.0,0.7908333333333334,0.7675,567.9288,0.0,682.9809760000006,763.6083053333303,682.6878090000006,698.3042663333314,0.2931670000000395,65.01087199999893,-0.004509507271338313,False,65.30403899999897,"above the anchor at every p in [0,1]"
UNGUARDED,glm-4-9b,UNGUARDED,M_constrained,-,2000,800,1200,0.05,2.3749999999999996,0.08333333333333334,687.0123424666671,683.4686318666671,3.5437105999999403,0.0,0.7908333333333335,0.7675,567.9288,0.0,682.9809760000006,763.6083053333303,682.6878090000006,698.3042663333314,0.2931670000000395,65.01087199999893,-0.004509507271338313,False,65.30403899999897,"above the anchor at every p in [0,1]"
UNGUARDED,glm-4-9b,UNGUARDED,M_constrained,-,2000,800,1200,0.1,2.25,0.16666666666666669,691.0437089333336,684.2494547333337,6.794254199999955,0.0,0.7908333333333335,0.7675,567.9288,0.0,682.9809760000006,763.6083053333303,682.6878090000006,698.3042663333314,0.2931670000000395,65.01087199999893,-0.004509507271338313,False,65.30403899999897,"above the anchor at every p in [0,1]"
